,monarchrunid,ctmmlabel,ctmmsuccess,year,monarchid,runid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,fly,dudtime,Release,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing
76,19172a,da,no,2019,19172,a,10,GM,8/2/2019,0.3293,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,89,31.66666667,clear,0,0,NE,11:08:00,12:02:00,0:54:00,3240,4,grass,fly,NA,edge,4751768.766,525689.5184,525690.5899,4751769.059,corn,1.110838085,74.70642925
89,19185a,do,no,2019,19185,a,5,GM,8/5/2019,0.6399,8/7/2019,2,GM,y,none,NA,,habitatutilization,68.5,20.27777778,mostly cloudy,1.7,2.7353,NE,8:26:00,9:07:35,0:41:35,2495,4,grass,fly,NA,grass,4751924.24,525786.7482,525784.1159,4751922.38,na,3.22313563,234.7547284
176,20009a,ec,no,2020,20009,a,2,barb,6/22/2020,0.1735,6/24/2020,2,west,n,transmitter,164.859,straight,roadside,70,21.11111111,clear,2.5,4.0225,SE,8:39:00,9:29:00,0:50:00,3000,16,corn,fly,NA,west,4646764.351,445432.667,4646754.799,445392.172,crop,41.60631838,256.7276238
143,20037a,ew,no,2020,20037,a,1,jesse,6/29/2020,NA,7/1/2020,2,east,n,transmitter,164.2,straight,roadside,79,26.11111111,cloudy,3.3,5.3097,WSW,12:24:00,13:04:00,0:40:00,2400,7,soy,fly,NA,east,4646396.928,447037.105,4646067.423,446635.881,roadside,519.1861354,230.605467
185,20053a,fs,no,2020,20053,a,2,jesse,7/13/2020,NA,7/16/2020,3,west,n,transmitter,164.955,straight,roadside,83,28.33333333,mostly clear,1.5,2.4135,N,13:48:00,15:48:00,2:00:00,7200,11,corn,fly,NA,west,4646778.931,445432.695,4646996.366,445427.536,roadside,217.4961942,358.6408192
59,19149a,cj,yes,2019,19149,a,NA,GM,7/26/2019,NA,7/28/2019,2,GM,y,transmitter,12,bent,habitatutilization,79.4,26.33333333,mostly cloudy,3.8,6.1142,N,10:11,10:16,0:05:00,300,0,,dud,5,prairie,NA,NA,NA,NA,,NA,NA
2,19026a,ac,yes,2019,19026,a,NA,GM,6/28/2019,NA,7/2/2019,4,GM,y,none,NA,,habitatutilization,84,28.88888889,mostly clear,1.5,2.4135,E,11:05:00,11:07:00,0:02:00,120,4,vegetation,fly,NA,corn,4751966.19,525736.927,525861.262,4751969.882,na,124.389803,88.29916051
4,19034a,ae,yes,2019,19034,a,NA,Jesse,6/30/2019,0.3262,7/2/2019,2,GM,n,none,NA,,habitatutilization,78.8,26,mostly cloudy,1.3,2.0917,E,10:23:00,10:50:00,0:27:00,1620,10,bare ground,fly,NA,corn,4751949.934,525673.12,525671.323,4752005.103,corn,55.19825876,358.1343848
6,19041a,ag,yes,2019,19041,a,NA,Jesse,6/30/2019,NA,7/2/2019,2,GM,n,none,NA,,habitatutilization,83.3,28.5,mostly clear,3.2,5.1488,E,11:43:00,11:51:00,0:08:00,480,10,common milkweed bloom,fly,NA,prairie,4751957.85,525689.686,525676.278,4751948.668,corn,16.25064885,235.5960703
8,19049b,aj,yes,2019,19049,b,6,GM,7/15/2019,NA,7/17/2019,2,GM,y,none,NA,,habitatutilization,81.8,27.66666667,mostly cloudy,0.8,1.2872,NNE,9:46:00,9:57:45,0:11:45,705,8,oxeye sunflower,fly,NA,prairie,4751726.422,525694.889,525722.3372,4751771.005,prairie,52.35501478,31.61915979
9,19050a,ak,yes,2019,19050,a,6,GM,7/15/2019,NA,7/17/2019,2,GM,y,none,NA,,habitatutilization,86.5,30.27777778,cloudy,1.5,2.4135,N,11:18:00,11:26:50,0:08:50,530,13,vegetative wild bergamot,fly,NA,prairie,4751726.456,525694.501,525868.1691,4751959.203,na,290.3993371,36.72908057
11,19051b,am,yes,2019,19051,b,6,GM,7/15/2019,0.3269,7/17/2019,2,GM,y,none,NA,,habitatutilization,82.8,28.22222222,cloudy,3.1,4.9879,NNE,10:21:00,10:32:00,0:11:00,660,12,grey headed coneflower,fly,NA,prairie,4751726.343,525694.3631,525844.3083,4751957.131,prairie,275.2211183,33.01217284
15,19055a,aq,yes,2019,19055,a,9,GM,7/15/2019,NA,7/18/2019,3,GM,y,none,NA,,habitatutilization,89.2,31.77777778,mostly cloudy,3.1,4.9879,N,12:29:00,12:40:22,0:11:22,682,6,wild bergamot,fly,NA,corn,4751773.08,525672.8631,525791.2999,4751949.341,prairie,212.3563414,33.89872875
16,19069a,ar,yes,2019,19069,a,9,GM,7/16/2019,0.4613,7/18/2019,2,GM,y,none,NA,,habitatutilization,89.4,31.88888889,cloudy,5.5,8.8495,N,13:13:00,14:06:00,0:53:00,3180,23,grass,fly,NA,corn,4751773.57,525672.7841,525728.2323,4751800.708,na,61.73308616,63.92149782
17,19070a,as,yes,2019,19070,a,6,GM,7/17/2019,0.2378,7/19/2019,2,GM,y,transmitter,89,bent,habitatutilization,83,28.33333333,clear,4.4,7.0796,NE,0:08:30,0:31:55,0:23:25,1405,4,oxeye sunflower,fly,NA,prairie,4751718.51,525688.4389,525837.7775,4751909.04,prairie,242.0820075,38.08956935
20,19073a,av,yes,2019,19073,a,6,GM,7/17/2019,NA,7/20/2019,3,GM,y,none,NA,,habitatutilization,84.6,29.22222222,mostly cloudy,5.1,8.2059,NNE,8:00:00,8:06:48,0:06:48,408,7,oxeye sunflower,fly,NA,prairie,4751699.717,525658.0695,525602.8702,4751758.144,prairie,80.37833694,316.6271222
21,19074a,aw,yes,2019,19074,a,6,GM,7/17/2019,0.3991,7/20/2019,3,GM,y,none,NA,,habitatutilization,81.6,27.55555556,cloudy,6,9.654,NE,8:33:00,9:33:00,1:00:00,3600,8,wild bergamot,fly,NA,prairie,4751699.88,525658.0664,525668.3935,4751699.038,na,10.36136856,94.66118949
24,19079a,az,yes,2019,19079,a,10,GM,7/18/2019,NA,7/20/2019,2,GM,y,none,NA,,habitatutilization,86.2,30.11111111,cloudy,5.8,9.3322,NNE,11:34:00,11:35:15,0:01:15,75,2,lost,fly,NA,edge,4751778.489,525688.5712,525855.5916,4751850.526,prairie,181.8932197,66.66914483
33,19098a,bj,yes,2019,19098,a,10,GM,7/21/2019,0.1782,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,78.5,25.83333333,mostly clear,8.5,13.6765,S,10:27:00,10:45:45,0:18:45,1125,2,grass,fly,NA,edge,4751916.542,525684.6381,525686.9001,4751901.972,corn,14.74454286,171.1752509
35,19105a,bl,yes,2019,19105,a,10,GM,7/21/2019,NA,7/22/2019,1,GM,y,transmitter,88,bent,habitatutilization,77.3,25.16666667,mostly cloudy,2.8,4.5052,SSW,12:07:00,12:44:00,0:37:00,2220,7,grass,fly,NA,edge,4751916.403,525684.6871,525670.32,4751433.829,prairie,482.7878199,181.7052952
36,19106a,bm,yes,2019,19106,a,10,GM,7/21/2019,0.1944,7/23/2019,2,GM,y,none,NA,,habitatutilization,71.9,22.16666667,clear,4.4,7.0796,S,9:10:00,9:25:00,0:15:00,900,4,corn,fly,NA,edge,4751962.849,525682.0456,525693.6796,4751950.388,na,17.04777044,136.9657612
37,19108a,bn,yes,2019,19108,a,10,GM,7/21/2019,NA,7/23/2019,2,GM,y,none,NA,,habitatutilization,75,23.88888889,clear,3.1,4.9879,S,9:39:00,9:43:02,0:04:02,242,6,corn,fly,NA,edge,4751961.664,525681.3918,525705.7415,4751759.197,prairie,203.9259522,173.1422575
39,19119a,bp,yes,2019,19119,a,10,GM,7/22/2019,NA,7/23/2019,1,GM,y,none,NA,,habitatutilization,77.4,25.22222222,clear,4.4,7.0796,SSE,10:17:00,10:24:30,0:07:30,450,6,wild bergamot,fly,NA,edge,4751964.426,525684.5597,525703.1138,4751758.784,na,206.4773275,174.8444338
42,19123a,bs,yes,2019,19123,a,10,GM,7/22/2019,NA,7/23/2019,1,GM,y,none,NA,,habitatutilization,78.6,25.88888889,clear,3.3,5.3097,S,11:34:00,11:52:45,0:18:45,1125,5,grass,fly,NA,edge,4751962.994,525682.1261,525722.6296,4751910.699,na,66.14605459,142.2415177
43,19125a,bt,yes,2019,19125,a,10,GM,7/22/2019,NA,7/23/2019,1,GM,y,none,NA,,habitatutilization,80.8,27.11111111,clear,4.8,7.7232,SE,13:35:00,13:49:45,0:14:45,885,7,wild bergamot,fly,NA,edge,4751963.942,525684.8531,525819.815,4751902.265,prairie,148.3872191,114.5601941
45,19130a,bv,yes,2019,19130,a,9,GM,7/23/2019,NA,7/24/2019,1,GM,y,none,NA,,habitatutilization,72.2,22.33333333,clear,1.3,2.0917,SE,9:17:00,9:29:50,0:12:50,770,2,corn,fly,NA,corn,4751771.062,525675.8424,525676.71,4751766.497,prairie,4.646714404,169.2390045
47,19132a,bx,yes,2019,19132,a,9,GM,7/23/2019,NA,7/24/2019,1,GM,y,transmitter,89,bent,habitatutilization,86.4,30.22222222,clear,1.3,2.0917,SE,11:50:00,12:04:53,0:14:53,893,6,bare ground,fly,NA,corn,4751771.246,525676.1271,525781.7628,4751774.417,grass,105.6832832,88.28059667
50,19136a,ca,yes,2019,19136,a,9,GM,7/23/2019,0.3555,7/25/2019,2,GM,y,transmitter,11,bent,habitatutilization,74,23.33333333,mostly clear,2,3.218,N,9:27:00,9:56:00,0:29:00,1740,14,corn,fly,NA,corn,4751770.968,525675.7506,525790.8361,4751774.038,na,115.1264401,88.47195052
51,19137a,cb,yes,2019,19137,a,9,GM,7/23/2019,NA,7/25/2019,2,GM,y,transmitter,11,bent,habitatutilization,81,27.22222222,mostly clear,6.5,10.4585,NNE,11:12:00,11:44:00,0:32:00,1920,13,corn,fly,NA,corn,4751770.432,525674.7839,525533.6238,4752595.011,na,836.5743847,350.2856725
52,19138a,cc,yes,2019,19138,a,4,GM,7/24/2019,NA,7/27/2019,3,GM,y,none,NA,,habitatutilization,76.6,24.77777778,clear,4,6.436,NE,8:33:00,8:44:45,0:11:45,705,11,grass,fly,NA,grass,4751700.942,525561.6533,525542.326,4751678.821,na,29.37487304,221.1439798
53,19139a,cd,yes,2019,19139,a,4,GM,7/24/2019,0.5115,7/27/2019,3,GM,y,none,NA,,habitatutilization,80.5,26.94444444,clear,3,4.827,E,9:11:00,9:25:36,0:14:36,876,7,grass,fly,NA,grass,4751701.51,525562.6689,525573.7986,4751664.27,na,38.86756774,163.3604816
54,19140a,ce,yes,2019,19140,a,6,GM,7/24/2019,0.3324,7/27/2019,3,GM,y,none,NA,,habitatutilization,87.2,30.66666667,clear,2,3.218,E,10:01:00,10:21:00,0:20:00,1200,14,grass,fly,NA,prairie,4751707.539,525615.7657,525600.5031,4751729.234,na,26.52583616,324.8733177
55,19142a,cf,yes,2019,19142,a,6,GM,7/24/2019,NA,7/27/2019,3,GM,y,none,NA,,habitatutilization,86.2,30.11111111,clear,1.5,2.4135,E,11:15:00,11:26:35,0:11:35,695,15,grass,fly,NA,prairie,4751707.347,525615.474,525536.9656,4751807.255,na,127.0636743,321.8394911
56,19143a,cg,yes,2019,19143,a,6,GM,7/24/2019,0.4111,7/27/2019,3,GM,y,transmitter,12,bent,habitatutilization,93,33.88888889,clear,1,1.609,E,12:26:00,13:36:00,1:10:00,4200,11,wild bergamot,fly,NA,prairie,4751707.418,525615.9569,525561.1498,4751789.016,na,98.2957365,326.1118438
58,19147a,ci,yes,2019,19147,a,7,GM,7/26/2019,0.4876,7/28/2019,2,GM,y,none,NA,,habitatutilization,73.2,22.88888889,mostly cloudy,6.8,10.9412,N,8:40:00,9:40:00,1:00:00,3600,10,wild bergamot,fly,NA,prairie,4751791.264,525517.0347,525504.2242,4751767.212,na,27.25082777,208.0405161
60,19149b,ck,yes,2019,19149,b,7,GM,7/26/2019,NA,7/28/2019,2,GM,y,none,NA,,habitatutilization,89.1,31.72222222,mostly cloudy,7.1,11.4239,N,11:49:00,12:06,0:17:00,1020,5,grass,fly,NA,prairie,4751791.504,525517.1878,525466.1224,4751834.397,prairie,66.68946338,310.0289857
61,19151a,cl,yes,2019,19151,a,7,GM,7/26/2019,0.2704,7/28/2019,2,GM,y,transmitter,12,bent,habitatutilization,83.5,28.61111111,mostly clear,2.6,4.1834,N,10:29:00,11:20:06,0:51:06,3066,6,grass,fly,NA,prairie,4751791.631,525517.2017,525539.5887,4751801.3,na,24.38580181,66.64036618
62,19153a,cm,yes,2019,19153,a,7,GM,7/27/2019,NA,7/28/2019,1,GM,y,none,NA,,habitatutilization,92.1,33.38888889,mostly cloudy,6.4,10.2976,N,12:28:00,13:00:40,0:32:40,1960,23,wild bergamot,fly,NA,prairie,4751791.817,525517.516,525490.049,4751712.244,prairie,84.18015454,199.0436449
67,19161a,cr,yes,2019,19161,a,8,GM,8/1/2019,NA,8/2/2019,1,GM,y,transmitter,13,straight,habitatutilization,72,22.22222222,mostly clear,2,3.218,N,9:06:00,9:21:20,0:15:20,920,6,bare ground,fly,NA,corn,4751780.584,525545.6888,525560.9526,4751780.955,prairie,15.26830807,88.60765015
68,19162a,cs,yes,2019,19162,a,8,GM,8/1/2019,NA,8/2/2019,1,GM,y,transmitter,13,straight,habitatutilization,74.7,23.72222222,clear,4.2,6.7578,N,10:11:00,10:33:00,0:22:00,1320,5,corn,fly,NA,corn,4751779.888,525546.0058,525571.7713,4751792.683,na,28.76756881,63.59126795
70,19164a,cu,yes,2019,19164,a,5,GM,8/1/2019,0.2814,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,82.1,27.83333333,mostly clear,0.4,0.6436,SW,9:54:00,10:54,1:00:00,3600,6,grass,fly,NA,grass,4751932.345,525784.8643,525826.6004,4751947.86,corn,44.52659057,69.60785932
71,19165a,cv,yes,2019,19165,a,5,GM,8/1/2019,0.2691,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,88.6,31.44444444,clear,2,3.218,SW,11:16:00,12:06,0:50:00,3000,30,grass,fly,NA,grass,4751932.043,525784.6842,525871.7784,4751876.089,prairie,103.5193209,122.7188713
73,19168a,cx,yes,2019,19168,a,5,GM,8/1/2019,0.3255,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,92,33.33333333,clear,2.5,4.0225,W,14:01:00,14:54:57,0:53:57,3237,10,grass,fly,NA,grass,4751934.042,525784.6056,525566.6679,4752157.854,grass,312.3918252,315.761863
75,19171a,cz,yes,2019,19171,a,9,GM,8/2/2019,0.2479,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,76.5,24.72222222,clear,0.2,0.3218,NW,9:45:00,10:32:25,0:47:25,2845,10,bare ground,fly,NA,corn,4751771.747,525675.87,525643.6805,4751774.685,roadside,32.32330049,275.2150509
77,19173a,db,yes,2019,19173,a,10,GM,8/3/2019,0.305,8/4/2019,1,GM,y,transmitter,14,straight,habitatutilization,86,30,mostly clear,0,0,NE,12:10:00,13:10:00,1:00:00,3600,18,grass,fly,NA,edge,4751768.535,525690.0647,525741.8938,4751905.737,prairie,146.6650756,20.69443966
78,19174a,dc,yes,2019,19174,a,3,GM,8/4/2019,0.4384,8/5/2019,1,GM,y,none,NA,,habitatutilization,86.3,30.16666667,mostly cloudy,3.3,5.3097,NE,11:05:00,12:05,1:00:00,3600,37,common milkweed,fly,NA,grass,4751853.68,525484.4662,525518.1955,4751851.736,prairie,33.78527511,93.29861304
80,19175a,de,yes,2019,19175,a,3,GM,8/4/2019,0.6143,8/5/2019,1,GM,y,none,NA,,habitatutilization,71,21.66666667,mostly cloudy,2,3.218,N,8:08:00,9:08:00,1:00:00,3600,7,common milkweed,fly,NA,grass,4751852.94,525484.2504,525473.9616,4751796.902,prairie,56.97470359,190.4038599
81,19176a,df,yes,2019,19176,a,3,GM,8/4/2019,0.4442,8/5/2019,1,GM,y,none,NA,,habitatutilization,74.2,23.44444444,mostly cloudy,2,3.218,N,9:25:00,10:25,1:00:00,3600,11,wild bergamot,fly,NA,grass,4751853.577,525484.2293,525512.2599,4751868.235,grass,31.63181153,62.39364906
83,19179a,di,yes,2019,19179,a,3,GM,8/5/2019,0.4528,8/6/2019,1,GM,y,none,NA,,habitatutilization,72.2,22.33333333,clear,3,4.827,S,9:02:00,10:02,1:00:00,3600,7,grass,fly,NA,grass,4751891.154,525487.5376,525506.9929,4751889.939,prairie,19.49320197,93.57352917
84,19180a,dj,yes,2019,19180,a,3,GM,8/5/2019,NA,8/6/2019,1,GM,y,none,NA,,habitatutilization,75.8,24.33333333,clear,2.4,3.8616,S,10:20:00,10:43:00,0:23:00,1380,14,common milkweed,fly,NA,grass,4751891.496,525487.5699,525434.1292,4751792.961,prairie,112.0939545,208.4732997
85,19181a,dk,yes,2019,19181,a,3,GM,8/5/2019,NA,8/6/2019,1,GM,y,none,NA,,habitatutilization,81.6,27.55555556,clear,3.8,6.1142,S,11:04:00,11:09:57,0:05:57,357,5,corn,fly,NA,grass,4751891.858,525487.7084,525386.3056,4751871.646,pasture,103.3975473,258.727321
86,19182a,dl,yes,2019,19182,a,3,GM,8/5/2019,0.5128,8/6/2019,1,GM,y,none,NA,,habitatutilization,84.3,29.05555556,clear,3.8,6.1142,SW,11:56:00,11:58:18,0:02:18,138,7,common milkweed,fly,NA,grass,4751891.457,525487.1763,525421.1606,4751759.29,na,147.7368896,206.5415327
87,19183a,dm,yes,2019,19183,a,3,GM,8/5/2019,NA,8/6/2019,1,GM,y,none,NA,,habitatutilization,81.3,27.38888889,clear,4.9,7.8841,SW,12:12:00,12:15:55,0:03:55,235,4,common milkweed,fly,NA,grass,4751891.11,525487.0003,525421.1606,4751759.29,na,147.3478147,206.5406012
88,19184a,dn,yes,2019,19184,a,3,GM,8/5/2019,NA,8/6/2019,1,GM,y,none,NA,,habitatutilization,88.6,31.44444444,clear,4.6,7.4014,SSW,12:32:00,12:47:13,0:15:13,913,11,corn,fly,NA,grass,4751891.815,525487.9169,525298.922,4751590.673,na,355.535619,212.1121335
90,19186a,dp,yes,2019,19186,a,5,GM,8/5/2019,NA,8/7/2019,2,GM,y,none,NA,,habitatutilization,76.9,24.94444444,mostly cloudy,1.5,2.4135,NE,9:19:00,10:19:00,1:00:00,3600,23,common milkweed,fly,NA,grass,4751923.688,525786.7317,525856.1494,4751950.198,grass,74.30745032,69.09858957
91,19187a,dq,yes,2019,19187,a,5,GM,8/5/2019,NA,8/7/2019,2,GM,y,none,NA,,habitatutilization,84,28.88888889,mostly clear,6.7,10.7803,ENE,10:50:00,11:48:15,0:58:15,3495,30,grass,fly,NA,grass,4751924.04,525786.5995,525793.2097,4751675.665,prairie,248.4629457,178.475502
92,19188a,dr,yes,2019,19188,a,5,GM,8/6/2019,0.5979,8/7/2019,1,GM,y,none,NA,,habitatutilization,93.1,33.94444444,clear,5.8,9.3322,NE,12:24:00,12:54:00,0:30:00,1800,3,grass,fly,NA,grass,4751924.089,525786.8238,525850.0433,4752005.502,grass,103.076582,37.83035134
93,19189a,ds,yes,2019,19189,a,5,GM,8/6/2019,0.3861,8/7/2019,1,GM,y,none,NA,,habitatutilization,93.1,33.94444444,clear,6.3,10.1367,NE,13:16:00,14:16,1:00:00,3600,10,grass,fly,NA,grass,4751924.23,525786.9942,525859.9935,4751924,grass,72.99966233,90.18052208
95,19191a,du,yes,2019,19191,a,8,GM,8/6/2019,0.3263,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,67,19.44444444,clear,3.1,4.9879,SSE,8:54:00,9:54,1:00:00,3600,12,grass,fly,NA,corn,4751783.3,525545.561,525518.565,4751777.493,prairie,27.61349788,257.8603181
96,19192a,dv,yes,2019,19192,a,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,73.4,23,clear,0.4,0.6436,S,10:15:00,11:15:50,1:00:50,3650,8,corn,fly,NA,corn,4751783.415,525545.117,525788.563,4751875.182,prairie,260.1675176,69.34605915
97,19193a,dw,yes,2019,19193,a,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,79.1,26.16666667,clear,3.1,4.9879,SE,12:07:00,12:36:19,0:29:19,1759,9,bare ground,fly,NA,corn,4751783.504,525545.509,525467.364,4751779.67,grass,78.23899655,267.1911701
98,19194a,dx,yes,2019,19194,a,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,none,NA,,habitatutilization,83.3,28.5,clear,5.1,8.2059,SE,13:31:00,13:33:10,0:02:10,130,4,wild bergamot,fly,NA,corn,4751783.427,525545.331,525579.576,4751708.012,grass,82.8259757,155.5778004
100,19197a,dz,yes,2019,19197,a,10,GM,8/7/2019,0.2944,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,71.1,21.72222222,mostly clear,1.7,2.7353,SW,9:11:00,10:10,0:59:00,3540,4,grey headed coneflower,fly,NA,edge,4751908.701,525684.051,525701.093,4751839.852,na,70.92682543,166.0971809
101,19198a,ea,yes,2019,19198,a,10,GM,8/7/2019,NA,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,76.6,24.77777778,mostly clear,1.1,1.7699,S,10:11:00,11:41,1:30:00,5400,8,grass,fly,NA,edge,4751909.222,525683.888,526030.43,4750080.264,prairie,1861.499053,169.2710624
102,19200a,eb,yes,2019,19200,a,10,GM,8/8/2019,NA,8/9/2019,1,GM,y,none,NA,,habitatutilization,95.8,35.44444444,mostly clear,0.4,0.6436,S,13:02:00,13:08:50,0:06:50,410,3,corn,fly,NA,edge,4751909.172,525684.204,525684.37,4751883.778,na,25.39454256,179.6254641
177,20010a,ed,yes,2020,20010,a,2,barb,6/22/2020,NA,6/24/2020,2,west,n,transmitter,164.859,straight,roadside,76,24.44444444,mostly cloudy,6.8,10.9412,SE,11:28:00,11:48:00,0:20:00,1200,4,bare ground,fly,NA,west,4646765.323,445432.486,4646796.063,445524.431,prairie,96.94756637,71.51365646
178,20011a,ef,yes,2020,20011,a,2,barb,6/22/2020,0.2476,6/24/2020,2,west,n,transmitter,164.859,straight,roadside,77,25,mostly clear,4.5,7.2405,SSE,10:54:00,11:03:00,0:09:00,540,8,corn,fly,NA,west,4646764.987,445432.467,4646786.17,445352.56,crop,82.66709223,284.8473489
139,20012a,eg,yes,2020,20012,a,1,barb,6/22/2020,NA,6/25/2020,3,east,n,transmitter,164.859,straight,roadside,80,26.66666667,clear,2,3.218,E,8:09:00,8:40:00,0:31:00,1860,4,corn,fly,NA,east,4646453.392,447052.724,4646498.243,447140,crop,98.12600255,62.80143927
140,20014a,eh,yes,2020,20014,a,1,jesse,6/22/2020,0.1801,6/25/2020,3,east,n,transmitter,164.859,straight,roadside,85,29.44444444,clear,2.5,4.0225,E,10:08:00,10:46:00,0:38:00,2280,5,grass,fly,NA,east,4646453.307,447052.848,4646465.512,447054.454,roadside,12.31020962,7.496221947
141,20016a,ei,yes,2020,20016,a,1,jesse,6/22/2020,0.1955,6/25/2020,3,east,n,transmitter,164.604,straight,roadside,84,28.88888889,clear,4,6.436,N,11:04:00,11:10:00,0:06:00,360,2,corn,fly,NA,east,4646453.681,447052.556,4646441.938,447073.55,crop,24.0550636,119.2204799
142,20022a,ek,yes,2020,20022,a,1,jesse,6/27/2020,NA,6/29/2020,2,east,n,none,NA,,roadside,78,25.55555556,clear,7.8,12.5502,N,7:25:00,7:59:00,0:34:00,2040,29,grass,fly,NA,east,4646365.033,447038.635,4646181.271,447006.64,na,186.5265468,189.87682
179,20030a,ep,yes,2020,20030,a,2,jesse,6/27/2020,NA,6/30/2020,3,west,n,transmitter,164.2,straight,roadside,76,24.44444444,mostly clear,6,9.654,NW,8:12:00,9:12:00,1:00:00,3600,6,grass,fly,NA,west,4646802.155,445432.779,4646798.713,445464.708,prairie,32.1139908,96.1528206
180,20031a,eq,yes,2020,20031,a,2,jesse,6/27/2020,0.2395,6/30/2020,3,west,n,transmitter,164.2,straight,roadside,79.3,26.27777778,cloudy,4,6.436,NW,9:40:00,10:40:00,1:00:00,3600,12,grass,fly,NA,west,4646802.242,445432.571,4646876.124,445432.203,roadside,73.88291648,359.7146169
144,20044a,fg,yes,2020,20044,a,1,jesse,7/8/2020,0.1765,7/10/2020,2,east,n,transmitter,164.955,straight,roadside,82,27.77777778,clear,5,8.045,SSE,9:23:00,9:42:00,0:19:00,1140,7,grass,fly,NA,east,4646408.178,447038.607,4646322.484,447027.775,crop,86.37588703,187.2041659
181,20046a,fi,yes,2020,20046,a,2,east dairy,7/10/2020,0.2583,7/13/2020,3,west,n,transmitter,164.955,straight,roadside,78,25.55555556,clear,3.5,5.6315,NW,9:20:00,10:13:00,0:53:00,3180,12,grass,fly,NA,west,4646770.971,445432.712,4646835.759,445454.233,prairie,68.26886834,18.37523395
182,20047a,fj,yes,2020,20047,a,2,uthe,7/12/2020,NA,7/13/2020,1,west,n,transmitter,164.955,straight,roadside,86,30,mostly clear,6.5,10.4585,NW,10:48:00,11:03:30,0:15:30,930,5,corn,fly,NA,west,4646771.358,445432.82,4646768.452,445412.121,crop,20.90199601,262.008292
145,20048a,fk,yes,2020,20048,a,1,uthe,7/12/2020,0.2316,7/14/2020,2,east,n,transmitter,164.955,straight,roadside,74,23.33333333,cloudy,4.5,7.2405,NNW,7:45:00,8:45:00,1:00:00,3600,6,grass,fly,NA,east,4646386.699,447038.105,4646367.079,447039.077,roadside,19.64406231,177.1638123
146,20049a,fm,yes,2020,20049,a,1,ad prairie,7/13/2020,0.2681,7/14/2020,1,east,n,transmitter,164.955,straight,roadside,77,25,cloudy,5.5,8.8495,N,9:05:00,11:02:00,1:57:00,7020,9,soy,fly,NA,east,4646387.289,447038.359,4646728.831,447459.013,prairie,541.8493568,50.92578595
183,20051a,fq,yes,2020,20051,a,2,ad prairie,7/13/2020,0.2598,7/16/2020,3,west,n,transmitter,165.161,straight,roadside,76,24.44444444,mostly clear,2,3.218,NW,10:12:00,11:12:00,1:00:00,3600,9,grass,fly,NA,west,4646779.186,445432.472,4646815.335,445436.213,roadside,36.34205941,5.908412301
184,20052a,fr,yes,2020,20052,a,2,jesse,7/13/2020,NA,7/16/2020,3,west,n,transmitter,165.161,straight,roadside,82,27.77777778,mostly clear,0,0,N,11:40:00,13:10:00,1:30:00,5400,14,grass,fly,NA,west,4646779.483,445432.208,4646537.267,445464.399,na,244.3457614,172.4296378
186,20054a,ft,yes,2020,20054,a,2,ad prairie,7/16/2020,0.2146,7/19/2020,3,west,n,transmitter,165.261,straight,roadside,73.5,23.05555556,mostly clear,5,8.045,SSE,7:23:00,8:21:00,0:58:00,3480,11,corn,fly,NA,west,4646819.833,445433.377,4646854.229,445453.779,prairie,39.99157936,30.67431439
187,20055a,fu,yes,2020,20055,a,2,ad prairie,7/16/2020,0.1778,7/19/2020,3,west,n,transmitter,165.261,straight,roadside,76.5,24.72222222,mostly cloudy,4.2,6.7578,SSE,8:47:00,10:13:00,1:26:00,5160,11,red clover,fly,NA,west,4646819.879,445433.577,4645973.75,445402.091,crop,846.714623,182.1310969
188,20056a,fv,yes,2020,20056,a,2,jesse,7/17/2020,0.2671,7/19/2020,2,west,n,transmitter,165.261,straight,roadside,80.5,26.94444444,mostly clear,3.5,5.6315,S,10:56:00,11:13:00,0:17:00,1020,4,corn,fly,NA,west,4646820.047,445433.6,4646835.169,445447.147,roadside,20.30261296,41.85548045
189,20057a,fw,yes,2020,20057,a,2,jesse,7/17/2020,NA,7/19/2020,2,west,n,transmitter,165.261,straight,roadside,81,27.22222222,mostly clear,7,11.263,S,11:34:00,12:08:00,0:34:00,2040,3,vegetative prairie plant,fly,NA,west,4646819.95,445433.457,4645862.99,447050.613,na,1879.086472,120.6151331
