monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19051a,56,3,7/16/2019,prairie,mixed,11:16:33,0:20:22,1222,rest,grass,525706.2722,4751797.719,rich,-23.07321982,29.72400637,355.9017209,TRUE
19051a,57,4,7/16/2019,prairie,mixed,11:37:10,0:07:21,441,rest,grass,525704.1479,4751827.367,rich,,,,
19051b,58,1,7/17/2019,prairie,mixed,10:21:00,0:06:30,390,release,oxeye sunflower,525694.3631,4751726.343,rich,,33.6088087,346.5424604,
19051b,59,2,7/17/2019,prairie,mixed,10:27:47,0:00:01,1,fly,air,525686.5415,4751759.029,rich,40.54726234,33.51250616,27.08972272,TRUE
19051b,60,3,7/17/2019,prairie,mixed,10:28:05,0:00:01,1,fly,air,525701.8026,4751788.865,rich,3.199702293,47.70879122,30.28942501,TRUE
19051b,61,4,7/17/2019,prairie,mixed,10:28:23,0:00:01,1,fly,air,525725.8654,4751830.061,rich,-7.698535877,59.8989692,22.59088913,TRUE
19051b,62,5,7/17/2019,prairie,mixed,10:28:41,0:00:01,1,fly,air,525748.8755,4751885.364,rich,0.739944855,39.27106184,23.33083399,
19051b,63,6,7/17/2019,prairie,mixed,10:28:59,0:00:01,1,fly,air,525764.4284,4751921.424,poor,87.09131839,18.97204723,110.4221524,
19051b,64,7,7/17/2019,prairie,mixed,10:29:17,0:00:01,1,fly,air,525782.208,4751914.804,poor,-24.3148473,18.32427516,86.10730507,
19051b,65,8,7/17/2019,prairie,mixed,10:29:35,0:00:50,50,rest,grass,525800.49,4751916.048,rich,75.75837255,5.243444765,161.8656776,
19051b,66,9,7/17/2019,prairie,mixed,10:30:28,0:00:38,38,rest,common milkweed,525802.122,4751911.065,rich,-117.8423727,47.92525611,44.02330492,TRUE
19051b,67,10,7/17/2019,prairie,mixed,10:31:08,0:00:01,1,fly,air,525835.4277,4751945.526,rich,3.430902128,11.86963365,47.45420705,
19051b,68,11,7/17/2019,prairie,mixed,10:31:11,0:00:38,38,rest,wild bergamot,525844.1725,4751953.552,poor,-45.28124364,3.581575441,2.172963414,
