monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19051b,69,12,7/17/2019,prairie,mixed,10:31:51,0:00:06,6,rest,grey headed coneflower,525844.3083,4751957.131,poor,,,,
19052a,70,1,7/18/2019,corn,mixed,12:11:00,0:02:50,170,release,corn,525672.5944,4751773.37,crop,,0,180,
19052a,71,2,7/18/2019,corn,mixed,12:13:53,0:00:01,1,fly,air,525672.5944,4751773.37,crop,,,,
19054a,72,1,7/16/2019,prairie,mixed,10:23:00,0:00:15,15,release,oxeye sunflower,525679.2939,4751721.329,rich,,0.945907903,225.7538483,
19054a,73,2,7/16/2019,prairie,mixed,10:23:18,0:03:07,187,rest,grass,525678.6163,4751720.669,rich,-15.26411919,1.813813962,210.4897291,TRUE
19054a,74,3,7/16/2019,prairie,mixed,10:26:28,0:30:00,1800,rest,vegetative wild bergamot,525677.696,4751719.106,rich,,,,
19055a,75,1,7/18/2019,corn,mixed,12:29:00,0:10:23,623,release,corn,525672.8631,4751773.08,crop,,11.12991092,39.16792299,
19055a,76,2,7/18/2019,corn,mixed,12:39:32,0:00:01,1,fly,air,525679.8927,4751781.709,crop,-3.439346629,33.17720212,35.72857636,
19055a,77,3,7/18/2019,corn,mixed,12:39:42,0:00:10,10,rest,wild bergamot,525699.2664,4751808.642,rich,-4.608251035,28.30447227,31.12032532,
19055a,78,4,7/18/2019,corn,mixed,12:40:01,0:00:01,1,fly,air,525713.8952,4751832.873,rich,-15.25360983,41.45128152,15.86671549,TRUE
19055a,79,5,7/18/2019,corn,mixed,12:40:11,0:00:01,1,fly,air,525725.228,4751872.745,rich,24.91442129,101.1555396,40.78113678,
19055a,80,6,7/18/2019,corn,mixed,12:40:21,0:00:01,1,fly,air,525791.2999,4751949.341,poor,,,,
19069a,81,1,7/18/2019,corn,mixed,13:13:00,0:00:59,59,release,corn,525672.7841,4751773.57,crop,,2.35075593,199.3475587,
19069a,82,2,7/18/2019,corn,mixed,13:14:02,0:00:01,1,fly,air,525672.0053,4751771.352,crop,-115.5573486,4.881240699,83.79021013,TRUE
19069a,83,3,7/18/2019,corn,mixed,13:14:06,0:00:01,1,fly,air,525676.8579,4751771.88,crop,-105.5372162,5.573685227,338.2529939,TRUE
19069a,84,4,7/18/2019,corn,mixed,13:14:10,0:00:13,13,rest,corn,525674.7928,4751777.057,crop,36.65061711,58.3354107,14.90361104,
19069a,85,5,7/18/2019,corn,mixed,13:14:25,0:02:35,155,rest,grass,525689.7963,4751833.43,rich,-23.2596305,31.19314091,351.6439805,
19069a,86,6,7/18/2019,corn,mixed,13:17:38,0:09:02,542,rest,corn,525685.2632,4751864.292,crop,-165.9502714,3.714324737,185.6937092,
19069a,87,7,7/18/2019,corn,mixed,13:26:45,0:10:28,628,rest,corn,525684.8947,4751860.596,crop,-166.6305183,6.281483229,19.06319088,TRUE
19069a,88,8,7/18/2019,corn,mixed,13:37:23,0:00:28,28,rest,grass,525686.9463,4751866.533,crop,75.76722909,1.567567542,94.83041997,
19069a,89,9,7/18/2019,corn,mixed,13:37:53,0:01:00,60,oviposit,milkweed,525688.5083,4751866.401,rich,-157.1896296,4.10193996,297.6407904,
19069a,90,10,7/18/2019,corn,mixed,13:38:55,0:00:20,20,rest,corn,525684.8745,4751868.304,crop,-156.2489,12.0291952,141.3918904,
19069a,91,11,7/18/2019,corn,mixed,13:40:00,0:02:43,163,oviposit,milkweed,525692.3806,4751858.904,rich,-43.91684334,4.058591481,97.47504703,
19069a,92,12,7/18/2019,corn,mixed,13:42:45,0:00:40,40,oviposit,milkweed,525696.4047,4751858.376,rich,-18.47947006,15.40720066,78.99557697,TRUE
19069a,93,13,7/18/2019,corn,mixed,13:43:27,0:00:18,18,feed,wild bergamot,525711.5286,4751861.317,rich,-19.92512349,3.27442307,59.07045348,TRUE
19069a,94,14,7/18/2019,corn,mixed,13:44:11,0:00:17,17,rest,veg plant,525714.3374,4751863,rich,65.66262669,11.71382532,124.7330802,TRUE
19069a,95,15,7/18/2019,corn,mixed,13:44:30,0:00:13,13,rest,veg plant,525723.964,4751856.326,rich,67.77620265,4.328760766,192.5092828,TRUE
19069a,96,16,7/18/2019,corn,mixed,13:44:45,0:00:20,20,rest,grass,525723.0264,4751852.1,rich,5.607815563,10.0839313,198.1170984,TRUE
19069a,97,17,7/18/2019,corn,mixed,13:45:07,0:01:29,89,feed,wild bergamot,525719.8907,4751842.516,rich,19.16268402,17.00919524,217.2797824,TRUE
19069a,98,18,7/18/2019,corn,mixed,13:46:38,0:11:18,678,oviposit,milkweed,525709.5881,4751828.982,rich,-42.27610057,8.740210205,175.0036818,TRUE
19069a,99,19,7/18/2019,corn,mixed,13:57:58,0:03:38,218,oviposit,milkweed,525710.3493,4751820.275,rich,14.73316026,10.97306788,189.7368421,TRUE
19069a,100,20,7/18/2019,corn,mixed,14:01:38,0:02:44,164,oviposit,milkweed,525708.4935,4751809.46,rich,159.2047381,10.78933507,348.9415802,TRUE
19069a,101,21,7/18/2019,corn,mixed,14:04:48,0:00:01,1,fly,air,525706.424,4751820.049,rich,156.0795191,23.97105432,145.0210993,TRUE
19069a,102,22,7/18/2019,corn,mixed,14:05:19,0:00:01,1,rest,veg plant,525720.166,4751800.408,rich,-57.15104923,8.071876838,87.87005007,TRUE
19069a,103,23,7/18/2019,corn,mixed,14:05:50,0:00:10,10,rest,veg plant,525728.2323,4751800.708,rich,,,,
19070a,104,1,7/19/2019,prairie,mixed,8:30:00,0:02:50,170,release,wild bergamot,525688.4389,4751718.51,rich,,33.89902115,12.58156918,
19070a,105,2,7/19/2019,prairie,mixed,8:33:00,0:08:14,494,rest,oxeye sunflower,525695.8231,4751751.595,rich,16.36173775,90.69831074,28.94330693,TRUE
19070a,106,3,7/19/2019,prairie,mixed,8:41:23,0:00:34,34,rest,wild bergamot,525739.716,4751830.965,rich,22.53044974,125.3465732,51.47375667,TRUE
19070a,107,4,7/19/2019,prairie,mixed,8:53:25,0:00:01,1,rest,senesed spiderwort,525837.7775,4751909.04,rich,,,,
19073a,108,1,7/20/2019,prairie,mixed,8:00:00,0:03:55,235,release,oxeye sunflower,525658.0695,4751699.717,rich,,5.507127094,323.2220732,
19073a,109,2,7/20/2019,prairie,mixed,8:04:00,0:00:13,13,feed,oxeye sunflower,525654.7723,4751704.128,rich,-35.8382602,16.29340494,287.383813,TRUE
19073a,110,3,7/20/2019,prairie,mixed,8:04:15,0:00:13,13,feed,oxeye sunflower,525639.2231,4751708.996,rich,10.4776069,8.507822433,297.8614199,TRUE
19073a,111,4,7/20/2019,prairie,mixed,8:04:30,0:00:13,13,feed,wild bergamot,525631.7015,4751712.972,rich,22.88305244,3.950503897,320.7444723,TRUE
19073a,112,5,7/20/2019,prairie,mixed,8:04:45,0:00:13,13,feed,oxeye sunflower,525629.2017,4751716.031,rich,-31.82227748,2.402216218,288.9221948,TRUE
19073a,113,6,7/20/2019,prairie,mixed,8:05:00,0:01:30,90,feed,oxeye sunflower,525626.9293,4751716.81,rich,40.87559198,47.8261419,329.7977868,TRUE
19073a,114,7,7/20/2019,prairie,mixed,8:06:47,0:00:01,1,fly,air,525602.8702,4751758.144,rich,,,,
19074a,115,1,7/20/2019,prairie,mixed,8:33:00,0:05:15,315,release,wild bergamot,525658.0664,4751699.88,rich,,1.543358533,109.0994289,
19074a,116,2,7/20/2019,prairie,mixed,8:38:20,0:05:05,305,feed,wild bergamot,525659.5248,4751699.375,rich,29.09329131,3.9053313,138.1927202,TRUE
19074a,117,3,7/20/2019,prairie,mixed,8:43:27,0:00:30,30,feed,wild bergamot,525662.1282,4751696.464,rich,170.058991,1.692732256,308.2517113,TRUE
19074a,118,4,7/20/2019,prairie,mixed,8:43:59,0:00:28,28,feed,wild bergamot,525660.7989,4751697.512,rich,-24.2005098,4.180586711,284.0512015,TRUE
19074a,119,5,7/20/2019,prairie,mixed,8:44:53,0:00:25,25,feed,wild bergamot,525656.7434,4751698.527,rich,165.9886807,5.746501392,90.0398822,TRUE
19074a,120,6,7/20/2019,prairie,mixed,8:45:37,0:28:43,1723,feed,wild bergamot,525662.4899,4751698.523,rich,44.39624942,1.652588575,134.4361316,TRUE
19074a,121,7,7/20/2019,prairie,mixed,9:14:22,0:03:51,231,feed,wild bergamot,525663.6699,4751697.366,rich,-63.9284304,5.010786461,70.50770122,TRUE
19074a,122,8,7/20/2019,prairie,mixed,9:18:15,0:14:45,885,rest,veg plant,525668.3935,4751699.038,rich,,,,
19078a,123,1,7/20/2019,prairie,mixed,10:26:00,0:00:25,25,release,oxeye sunflower,525658.9494,4751701.05,rich,,1.413215161,220.6008549,
19078a,124,2,7/20/2019,prairie,mixed,10:26:27,0:29:15,1755,rest,grass,525658.0297,4751699.977,rich,0,0,180,TRUE
19078a,125,2,7/20/2019,prairie,mixed,10:55:44,0:00:16,16,rest,grass,525658.0297,4751699.977,rich,,,,
19079a,126,1,7/20/2019,edge,mixed,10:56:00,0:00:45,45,release,corn,525688.5712,4751778.489,crop,,181.8932197,66.66914483,
19079a,127,2,7/20/2019,edge,mixed,10:57:15,0:00:01,1,fly ,air,525855.5916,4751850.526,rich,,,,
19082a,128,1,7/21/2019,edge,mixed,10:17:00,0:02:17,137,release,corn,525680.5976,4751933.931,crop,,1.777720124,91.38602177,
19082a,129,2,7/21/2019,edge,mixed,10:19:19,0:10:39,639,rest,bare ground,525682.3748,4751933.888,crop,-139.8732604,0.638214235,311.5127614,TRUE
19082a,130,3,7/21/2019,edge,mixed,10:30:00,0:22:58,1378,rest,bare ground,525681.8969,4751934.311,crop,-168.6739053,0.928551996,142.8388561,
19082a,131,4,7/21/2019,edge,mixed,10:53:00,0:30:00,1800,rest,grass,525682.4578,4751933.571,rich,,,,
19085a,132,1,7/23/2019,edge,mixed,13:01:00,0:00:25,25,release,corn,525681.4528,4751961.651,crop,,0.529529187,119.7797751,
19085a,133,2,7/23/2019,edge,mixed,13:01:26,0:04:39,279,rest,grass,525681.9124,4751961.388,rich,93.94695034,8.106334857,213.7267255,
19085a,134,3,7/23/2019,edge,mixed,13:06:30,0:01:00,60,rest,corn,525677.4115,4751954.646,crop,175.0036487,20.5384598,28.73037414,
19085a,135,5,7/23/2019,edge,mixed,14:10:00,0:00:05,5,oviposit,common milkweed,525687.2841,4751972.656,rich,,,,
19090a,136,1,7/21/2019,edge,mixed,11:54:00,0:03:22,202,release,grass,525682.6181,4751934.293,rich,,0.603091875,135.0738953,
19090a,137,2,7/21/2019,edge,mixed,11:57:24,0:30:00,1800,rest,grass,525683.044,4751933.866,rich,,,,
19091a,138,1,7/22/2019,edge,mixed,9:36:00,0:01:32,92,release,grass,525682.6757,4751941.967,rich,,2.351496385,345.1541223,
19091a,139,2,7/22/2019,edge,mixed,9:37:34,0:30:00,1800,rest,corn,525682.0732,4751944.24,crop,,,,
19098a,140,1,7/22/2019,edge,mixed,10:27:00,0:03:48,228,release,veg wild bergamot,525684.6381,4751916.542,rich,,14.74454286,171.1752509,
19098a,141,2,7/22/2019,edge,mixed,10:31:01,0:14:44,884,rest,grass,525686.9001,4751901.972,rich,,,,
19105a,142,1,7/22/2019,edge,mixed,12:07:00,0:06:46,406,release,wild bergamot,525684.6871,4751916.403,rich,,1.008047638,118.6295117,
19105a,143,2,7/22/2019,edge,mixed,12:13:48,0:01:32,92,rest,grass,525685.5719,4751915.92,rich,147.4171719,3.394076016,266.0466836,
19105a,144,3,7/22/2019,edge,mixed,12:15:22,0:14:16,856,rest,corn,525682.1859,4751915.686,crop,-11.31155096,2.525813115,254.7351326,
19105a,145,4,7/22/2019,edge,mixed,12:29:40,0:03:33,213,rest,corn,525679.7492,4751915.021,crop,-146.7651391,7.591107735,107.9699935,
19105a,146,5,7/22/2019,edge,mixed,12:33:15,0:00:10,10,rest,grass,525686.97,4751912.679,rich,73.85858955,349.3769146,181.8285831,
