ctmmlabel,class,occu,release,count
dw,poor,high,corn,0
dw,rich,low,corn,1561
dw,rich,moderate,corn,0
dw,rich,high,corn,0
dx,crop,high,corn,0
dx,crop,moderate,corn,0
dx,crop,low,corn,3089
dx,edge,low,corn,6521
dx,edge,high,corn,0
dx,edge,moderate,corn,0
dx,poor,low,corn,41329
dx,poor,high,corn,0
dx,poor,moderate,corn,0
dx,rich,low,corn,1561
dx,rich,high,corn,0
dx,rich,moderate,corn,0
eg,crop,high,east,0
eg,crop,low,east,158
eg,crop,moderate,east,2
eg,poor,high,east,2
eg,poor,low,east,86
eg,poor,moderate,east,13
eg,rich,high,east,0
eg,rich,low,east,0
eg,rich,moderate,east,0
eg,edge,low,east,0
eg,edge,moderate,east,0
eg,edge,high,east,0
eh,poor,low,east,3
eh,poor,moderate,east,0
eh,poor,high,east,0
eh,rich,high,east,0
eh,rich,low,east,0
eh,rich,moderate,east,0
eh,edge,low,east,0
eh,edge,moderate,east,0
eh,edge,high,east,0
eh,crop,high,east,0
eh,crop,low,east,0
eh,crop,moderate,east,0
ei,poor,low,east,4
ei,poor,moderate,east,0
ei,poor,high,east,0
ei,rich,high,east,0
ei,rich,low,east,0
ei,rich,moderate,east,0
ei,edge,low,east,0
ei,edge,moderate,east,0
ei,edge,high,east,0
ei,crop,high,east,0
ei,crop,low,east,0
ei,crop,moderate,east,0
ek,crop,moderate,east,0
ek,crop,high,east,0
ek,crop,low,east,141
ek,edge,low,east,302
ek,edge,moderate,east,0
ek,edge,high,east,0
ek,poor,high,east,12
ek,poor,low,east,4699
ek,poor,moderate,east,38
ek,rich,high,east,0
ek,rich,low,east,0
ek,rich,moderate,east,0
fg,crop,moderate,east,0
fg,crop,high,east,0
fg,crop,low,east,116
fg,edge,low,east,73
fg,edge,moderate,east,0
fg,edge,high,east,0
fg,poor,low,east,241
fg,poor,moderate,east,1
fg,poor,high,east,0
fg,rich,high,east,0
fg,rich,low,east,0
fg,rich,moderate,east,0
fk,poor,low,east,4
fk,poor,moderate,east,0
fk,poor,high,east,0
fk,rich,high,east,0
fk,rich,low,east,0
