Date,Time,Antenna,Power,Tower,M_ID,Year
8/3/2019,19:14:46,3,111,T2,168,2019
8/3/2019,19:14:49,4,109,T2,168,2019
8/3/2019,19:14:51,4,113,T2,168,2019
8/3/2019,19:14:54,1,114,T2,168,2019
8/3/2019,19:14:56,1,125,T2,168,2019
8/3/2019,19:14:58,1,114,T2,168,2019
8/3/2019,19:15:01,2,101,T2,168,2019
8/3/2019,19:15:02,2,89,T2,168,2019
8/3/2019,19:15:04,2,78,T2,168,2019
8/3/2019,19:15:07,3,60,T2,168,2019
8/3/2019,19:15:09,3,90,T2,168,2019
8/3/2019,19:15:15,4,88,T2,168,2019
8/3/2019,19:15:17,4,79,T2,168,2019
8/3/2019,19:15:19,4,77,T2,168,2019
8/3/2019,19:15:25,1,64,T2,168,2019
8/3/2019,19:15:28,2,74,T2,168,2019
8/3/2019,19:15:30,2,74,T2,168,2019
8/3/2019,19:15:33,3,84,T2,168,2019
8/3/2019,19:15:35,3,84,T2,168,2019
8/3/2019,19:15:37,3,84,T2,168,2019
8/3/2019,19:15:40,4,68,T2,168,2019
8/3/2019,19:15:41,4,67,T2,168,2019
8/3/2019,19:15:43,4,68,T2,168,2019
8/3/2019,19:15:46,1,65,T2,168,2019
8/3/2019,19:15:48,1,63,T2,168,2019
8/3/2019,19:15:53,2,74,T2,168,2019
8/3/2019,19:15:54,2,73,T2,168,2019
8/3/2019,19:15:58,3,83,T2,168,2019
8/3/2019,19:15:59,3,83,T2,168,2019
8/3/2019,19:16:01,3,83,T2,168,2019
8/3/2019,19:16:04,4,68,T2,168,2019
8/3/2019,19:16:06,4,68,T2,168,2019
8/3/2019,19:16:07,4,68,T2,168,2019
8/3/2019,19:16:11,1,62,T2,168,2019
8/3/2019,19:16:12,1,63,T2,168,2019
8/3/2019,19:16:16,2,72,T2,168,2019
8/3/2019,19:16:17,2,72,T2,168,2019
8/3/2019,19:16:19,2,72,T2,168,2019
8/3/2019,19:16:22,3,81,T2,168,2019
8/3/2019,19:16:24,3,81,T2,168,2019
8/3/2019,19:16:25,3,81,T2,168,2019
8/3/2019,19:16:29,4,65,T2,168,2019
8/3/2019,19:16:30,4,67,T2,168,2019
8/3/2019,19:16:34,1,61,T2,168,2019
8/3/2019,19:16:35,1,62,T2,168,2019
8/3/2019,19:16:37,1,63,T2,168,2019
8/3/2019,19:16:40,2,73,T2,168,2019
8/3/2019,19:16:42,2,72,T2,168,2019
8/3/2019,19:16:43,2,71,T2,168,2019
8/3/2019,19:16:47,3,80,T2,168,2019
8/3/2019,19:16:48,3,81,T2,168,2019
8/3/2019,19:16:51,4,66,T2,168,2019
8/3/2019,19:16:53,4,66,T2,168,2019
8/3/2019,19:16:55,4,66,T2,168,2019
8/3/2019,19:16:58,1,62,T2,168,2019
8/3/2019,19:17:00,1,63,T2,168,2019
8/3/2019,19:17:01,1,62,T2,168,2019
8/3/2019,19:17:05,2,71,T2,168,2019
8/3/2019,19:17:06,2,73,T2,168,2019
8/3/2019,19:17:09,3,81,T2,168,2019
8/3/2019,19:17:11,3,82,T2,168,2019
8/3/2019,19:17:13,3,82,T2,168,2019
8/3/2019,19:17:16,4,66,T2,168,2019
8/3/2019,19:17:18,4,68,T2,168,2019
8/3/2019,19:17:19,4,66,T2,168,2019
8/3/2019,19:17:23,1,62,T2,168,2019
8/3/2019,19:17:24,1,63,T2,168,2019
8/3/2019,19:17:29,2,71,T2,168,2019
8/3/2019,19:17:31,2,71,T2,168,2019
8/3/2019,19:17:34,3,81,T2,168,2019
8/3/2019,19:17:36,3,81,T2,168,2019
8/3/2019,19:17:37,3,81,T2,168,2019
8/3/2019,19:17:40,4,66,T2,168,2019
8/3/2019,19:17:42,4,66,T2,168,2019
8/3/2019,19:17:45,1,62,T2,168,2019
8/3/2019,19:17:47,1,62,T2,168,2019
8/3/2019,19:17:49,1,63,T2,168,2019
8/3/2019,19:17:52,2,72,T2,168,2019
8/3/2019,19:17:54,2,73,T2,168,2019
8/3/2019,19:17:55,2,73,T2,168,2019
8/3/2019,19:17:58,3,82,T2,168,2019
8/3/2019,19:18:00,3,81,T2,168,2019
8/3/2019,19:18:03,4,67,T2,168,2019
8/3/2019,19:18:05,4,66,T2,168,2019
8/3/2019,19:18:07,4,67,T2,168,2019
8/3/2019,19:18:10,1,63,T2,168,2019
8/3/2019,19:18:12,1,62,T2,168,2019
8/3/2019,19:18:13,1,64,T2,168,2019
8/3/2019,19:18:16,2,75,T2,168,2019
8/3/2019,19:18:18,2,76,T2,168,2019
8/3/2019,19:18:21,3,84,T2,168,2019
8/3/2019,19:18:23,3,85,T2,168,2019
8/3/2019,19:18:25,3,84,T2,168,2019
8/3/2019,19:18:28,4,63,T2,168,2019
8/3/2019,19:18:29,4,63,T2,168,2019
8/3/2019,19:18:31,4,60,T2,168,2019
8/3/2019,19:18:34,1,58,T2,168,2019
8/3/2019,19:18:36,1,60,T2,168,2019
8/3/2019,19:18:39,2,61,T2,168,2019
8/3/2019,19:18:41,2,61,T2,168,2019
8/3/2019,19:18:43,2,61,T2,168,2019
8/3/2019,19:18:46,3,75,T2,168,2019
8/3/2019,19:18:47,3,73,T2,168,2019
8/3/2019,19:18:49,3,74,T2,168,2019
8/3/2019,19:18:52,4,62,T2,168,2019
8/3/2019,19:18:54,4,60,T2,168,2019
8/3/2019,19:18:57,1,61,T2,168,2019
8/3/2019,19:18:59,1,60,T2,168,2019
8/3/2019,19:19:00,1,61,T2,168,2019
8/3/2019,19:19:04,2,62,T2,168,2019
8/3/2019,19:19:05,2,62,T2,168,2019
8/3/2019,19:19:07,2,63,T2,168,2019
8/3/2019,19:19:10,3,76,T2,168,2019
8/3/2019,19:19:12,3,77,T2,168,2019
8/3/2019,19:19:13,3,76,T2,168,2019
8/3/2019,19:19:17,4,61,T2,168,2019
8/3/2019,19:19:18,4,61,T2,168,2019
8/3/2019,19:19:22,1,60,T2,168,2019
8/3/2019,19:19:23,1,60,T2,168,2019
8/3/2019,19:19:25,1,60,T2,168,2019
8/3/2019,19:19:28,2,62,T2,168,2019
8/3/2019,19:19:30,2,62,T2,168,2019
8/3/2019,19:19:31,2,62,T2,168,2019
8/3/2019,19:19:35,3,76,T2,168,2019
8/3/2019,19:19:36,3,76,T2,168,2019
