monarchrunid,ctmmlabel,ctmmsuccess,year,monarchid,runid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,fly,dudtime,Release,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,maxhitspertower (1 hit every 2 seconds),maxhitstotal,tower1,tower2,tower3,tower4,tower5a,tower5b,tower6,tower7,tower8,tower9,totalhits,,%
19090a,bg,no,2019,19090,a,10,GM,7/20/2019,0.1505,7/21/2019,1,GM,y,transmitter,89,bent,habitatutilization,80.6,27,cloudy,3.1,4.9879,SSW,11:54:00,12:27:24,0:33:24,2004,2,grass,fly,NA,edge,4751934.293,525682.6181,525683.044,4751933.866,prairie,0.603091875,135.0738953,1002,10020,0,0,0,0,0,0,17,0,0,0,17,,0
19167a,cw,no,2019,19167,a,5,GM,8/1/2019,0.2926,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,82.2,27.88888889,clear,2.4,3.8616,W,13:07:00,13:41,0:34:44,2084,2,grass,fly,NA,grass,4751933.66,525785.0592,525785.0421,4751935.59,na,1.930075752,359.4923667,1042,10420,0,0,166,0,0,0,227,0,0,0,393,,4
19051a,al,no,2019,19051,a,6,GM,7/15/2019,0.3269,7/16/2019,1,GM,y,transmitter,90,bent,habitatutilization,84.2,29,mostly clear,5.3,8.5277,NNE,11:10:00,11:45:00,0:35:00,2100,4,grass,fly,NA,prairie,4751721.502,525679.8483,525704.1479,4751827.367,prairie,108.6179948,12.92739486,700,7000,0,0,3,0,3,0,377,0,0,0,383,,5
19091a,bh,no,2019,19091,a,10,GM,7/21/2019,0.2993,7/22/2019,1,GM,y,transmitter,89,bent,habitatutilization,80.6,27,clear,4.8,7.7232,SSW,9:36:00,10:12:48,0:36:48,2208,2,corn,fly,NA,edge,4751941.967,525682.6757,525682.0732,4751944.24,prairie,2.351496385,345.1541223,1104,11040,0,0,0,0,0,0,0,0,0,0,0,,0
19105a,bl,yes,2019,19105,a,10,GM,7/21/2019,NA,7/22/2019,1,GM,y,transmitter,88,bent,habitatutilization,77.3,25.16666667,mostly cloudy,2.8,4.5052,SSW,12:07:00,12:44:00,0:37:00,2220,7,grass,fly,NA,edge,4751916.403,525684.6871,525670.32,4751433.829,prairie,482.7878199,181.7052952,1110,11100,0,0,0,0,0,0,0,0,0,0,0,,0
19171a,cz,yes,2019,19171,a,9,GM,8/2/2019,0.2479,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,76.5,24.72222222,clear,0.2,0.3218,NW,9:45:00,10:32:25,0:47:25,2845,10,bare ground,fly,NA,corn,4751771.747,525675.87,525643.6805,4751774.685,roadside,32.32330049,275.2150509,1423,14225,0,0,94,0,499,2,0,645,357,131,1728,,12
19165a,cv,yes,2019,19165,a,5,GM,8/1/2019,0.2691,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,88.6,31.44444444,clear,2,3.218,SW,11:16:00,12:06,0:50:00,3000,30,grass,fly,NA,grass,4751932.043,525784.6842,525871.7784,4751876.089,prairie,103.5193209,122.7188713,1500,15000,0,0,246,0,0,0,108,0,0,0,354,,2
19151a,cl,yes,2019,19151,a,7,GM,7/26/2019,0.2704,7/28/2019,2,GM,y,transmitter,12,bent,habitatutilization,83.5,28.61111111,mostly clear,2.6,4.1834,N,10:29:00,11:20:06,0:51:06,3066,6,grass,fly,NA,prairie,4751791.631,525517.2017,525539.5887,4751801.3,na,24.38580181,66.64036618,1533,15330,0,0,0,0,0,0,0,0,0,0,0,,0
19168a,cx,yes,2019,19168,a,5,GM,8/1/2019,0.3255,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,92,33.33333333,clear,2.5,4.0225,W,14:01:00,14:54:57,0:53:57,3237,10,grass,fly,NA,grass,4751934.042,525784.6056,525566.6679,4752157.854,grass,312.3918252,315.761863,1619,16185,0,0,0,0,0,0,32,0,0,0,32,,0
19172a,da,no,2019,19172,a,10,GM,8/2/2019,0.3293,8/4/2019,2,GM,y,transmitter,14,straight,habitatutilization,89,31.66666667,clear,0,0,NE,11:08:00,12:02:00,0:54:00,3240,4,grass,fly,NA,edge,4751768.766,525689.5184,525690.5899,4751769.059,corn,1.110838085,74.70642925,1620,16200,0,0,0,0,1,0,374,0,3,0,378,,2
19197a,dz,yes,2019,19197,a,10,GM,8/7/2019,0.2944,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,71.1,21.72222222,mostly clear,1.7,2.7353,SW,9:11:00,10:10,0:59:00,3540,4,grey headed coneflower,fly,NA,edge,4751908.701,525684.051,525701.093,4751839.852,na,70.92682543,166.0971809,1770,17700,0,0,9,0,8,0,435,0,0,0,452,,3
19164a,cu,yes,2019,19164,a,5,GM,8/1/2019,0.2814,8/3/2019,2,GM,y,transmitter,14,straight,habitatutilization,82.1,27.83333333,mostly clear,0.4,0.6436,SW,9:54:00,10:54,1:00:00,3600,6,grass,fly,NA,grass,4751932.345,525784.8643,525826.6004,4751947.86,corn,44.52659057,69.60785932,1800,18000,0,0,955,0,0,0,218,0,0,0,1173,,7
19173a,db,yes,2019,19173,a,10,GM,8/3/2019,0.305,8/4/2019,1,GM,y,transmitter,14,straight,habitatutilization,86,30,mostly clear,0,0,NE,12:10:00,13:10:00,1:00:00,3600,18,grass,fly,NA,edge,4751768.535,525690.0647,525741.8938,4751905.737,prairie,146.6650756,20.69443966,1800,18000,0,0,162,0,0,0,1095,0,0,1,1258,,7
19191a,du,yes,2019,19191,a,8,GM,8/6/2019,0.3263,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,67,19.44444444,clear,3.1,4.9879,SSE,8:54:00,9:54,1:00:00,3600,12,grass,fly,NA,corn,4751783.3,525545.561,525518.565,4751777.493,prairie,27.61349788,257.8603181,1800,18000,0,0,0,0,4,0,0,0,0,0,4,,0
19192a,dv,yes,2019,19192,a,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,73.4,23,clear,0.4,0.6436,S,10:15:00,11:15:50,1:00:50,3650,8,corn,fly,NA,corn,4751783.415,525545.117,525788.563,4751875.182,prairie,260.1675176,69.34605915,1825,18250,0,0,0,0,295,16,5,0,0,0,316,,2
19082a,bb,no,2019,19082,a,10,GM,7/19/2019,0.1975,7/21/2019,2,GM,y,transmitter,89,bent,habitatutilization,77.3,25.16666667,cloudy,4.8,7.7232,SSW,10:17:00,11:23:00,1:06:00,3960,4,bare ground,fly,NA,edge,4751933.931,525680.5976,525682.4578,4751933.571,na,1.894714765,100.9529134,1980,19800,0,0,15,0,0,0,13,0,0,0,28,,0
19143a,cg,yes,2019,19143,a,6,GM,7/24/2019,0.4111,7/27/2019,3,GM,y,transmitter,12,bent,habitatutilization,93,33.88888889,clear,1,1.609,E,12:26:00,13:36:00,1:10:00,4200,11,wild bergamot,fly,NA,prairie,4751707.418,525615.9569,525561.1498,4751789.016,na,98.2957365,326.1118438,2100,21000,0,0,0,0,0,0,0,0,0,0,0,,0
19198a,ea,yes,2019,19198,a,10,GM,8/7/2019,NA,8/9/2019,2,GM,y,transmitter,16,straight,habitatutilization,76.6,24.77777778,mostly clear,1.1,1.7699,S,10:11:00,11:41,1:30:00,5400,8,grass,fly,NA,edge,4751909.222,525683.888,526030.43,4750080.264,prairie,1861.499053,169.2710624,2700,27000,0,2,37,0,1,0,230,0,16,19,305,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,total,422058,0,2,1691,0,3940,2475,3341,645,386,161,12641,,
