"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"88","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,71
"89","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,289.049904298278,"7/8/2019","C6",42.91923842,-92.6892418,4751893.261,525362.547,68
"90","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,28.0836532063558,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,87
"91","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,28.0836532063558,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,71
"92","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,28.0836532063558,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,75
"93","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,131.220629798114,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,65
"94","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,131.220629798114,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,62
"95","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,131.220629798114,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,77
"96","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,131.220629798114,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,87
"97","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,205.766443900638,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,57
"98","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,240.216652102113,"7/8/2019","D6",42.91787622,-92.68906992,4751742.045,525377.134,65
"99","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,46.6186232683619,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,60
"100","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,46.6186232683619,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,60
"101","T2",4752058.259,525528.872,42.92071869,-92.68719639,1,108,225.160715865738,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,59
"102","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.160715865738,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,77
"103","T2",4752058.259,525528.872,42.92071869,-92.68719639,3,230,225.160715865738,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,59.5
"104","T5",4751833.976,525536.961,42.91869874,-92.6871075,3,39,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,79
"105","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,70
"106","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,80
"107","T5",4751833.976,525536.961,42.91869874,-92.6871075,1,159,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,72.5
"108","T5",4751833.976,525536.961,42.91869874,-92.6871075,7,173,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,66
"109","T5",4751833.976,525536.961,42.91869874,-92.6871075,6,240,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,66
"110","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,81
"111","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,296.406707020546,"7/8/2019","C5",42.91939301,-92.68901682,4751910.495,525380.845,65
"112","T7",4751587.388,525295.045,42.91648625,-92.69008267,3,20,36.0532963113962,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,83
"113","T7",4751587.388,525295.045,42.91648625,-92.69008267,2,70,36.0532963113962,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,69
"114","T7",4751587.388,525295.045,42.91648625,-92.69008267,1,134,36.0532963113962,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,74
"115","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,131.412224784828,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,71
"116","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,131.412224784828,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,68
"117","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,131.412224784828,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,80
"118","T4",4751820.777,525286.266,42.91858823,-92.6901797,1,194,131.412224784828,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,94
"119","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,232.714961089688,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,85
"120","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,232.714961089688,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,65
"121","T5",4751833.976,525536.961,42.91869874,-92.6871075,1,159,232.714961089688,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,78
"122","T5",4751833.976,525536.961,42.91869874,-92.6871075,5,289,232.714961089688,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,72.5
"123","T5",4751833.976,525536.961,42.91869874,-92.6871075,4,346,232.714961089688,"7/8/2019","D7",42.91772816,-92.68884816,4751725.67,525395.294,70
"124","T4",4751820.777,525286.266,42.91858823,-92.6901797,4,4,46.310379676666,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,68
"125","T4",4751820.777,525286.266,42.91858823,-92.6901797,3,65,46.310379676666,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,57
"126","T4",4751820.777,525286.266,42.91858823,-92.6901797,2,124,46.310379676666,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,74
"127","T2",4752058.259,525528.872,42.92071869,-92.68719639,1,108,225.223313156918,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,68
"128","T2",4752058.259,525528.872,42.92071869,-92.68719639,2,169,225.223313156918,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,84
"129","T2",4752058.259,525528.872,42.92071869,-92.68719639,3,230,225.223313156918,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,68
"130","T5",4751833.976,525536.961,42.91869874,-92.6871075,3,39,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,80
"131","T5",4751833.976,525536.961,42.91869874,-92.6871075,2,97,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,69.5
"132","T5",4751833.976,525536.961,42.91869874,-92.6871075,8,115,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,77
"133","T5",4751833.976,525536.961,42.91869874,-92.6871075,1,159,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,72
"134","T5",4751833.976,525536.961,42.91869874,-92.6871075,7,173,304.511136666603,"7/8/2019","C4",42.91955196,-92.68880206,4751928.211,525398.307,64.5
